review_id,text,rating,label,app_id,app_name,date,source
syn_05643,barang tidak sesuai kecewa berat banget,2,negative,com.mobile.legends,MLBB,2026-08-25,google_play
syn_05654,mantap aplikasi terbaik loh,5,positive,com.shopee.id,Shopee,2026-08-25,google_play
syn_09590,sering hang dan keluar sendiri,2,negative,com.gojek.app,Gojek,2026-08-25,google_play
syn_08615,aplikasi lemot sering force close,2,negative,com.tokopedia.tkpd,Tokopedia,2026-08-25,google_play
syn_08048,banyak bug sangat mengecewakan,2,negative,com.tokopedia.tkpd,Tokopedia,2026-08-25,google_play
syn_02167,diskon banyak belanja hemat,5,positive,com.gojek.app,Gojek,2026-08-25,google_play
syn_09243,desain bagus pengalaman menyenangkan,4,positive,com.mobile.legends,MLBB,2026-08-25,google_play
syn_06889,fiturnya lumayan tapi perlu update,3,neutral,com.gojek.app,Gojek,2026-08-25,google_play
syn_09441,driver ramah dan tepat waktu,4,positive,com.shopee.id,Shopee,2026-08-25,google_play
syn_04898,selalu crash saat login bangettt,1,negative,com.shopee.id,Shopee,2026-08-25,google_play
syn_03615,diskon banyak belanja hemat,5,positive,com.mobile.legends,MLBB,2026-08-25,google_play
syn_10503,aplikasi lemot sering force close,2,negative,com.mobile.legends,MLBB,2026-08-25,google_play
syn_10974,barang tidak sesuai kecewa berat,2,negative,com.shopee.id,Shopee,2026-08-25,google_play
syn_08842,standar tidak buruk tidak bagus,3,neutral,com.gojek.app,Gojek,2026-08-25,google_play
syn_06192,kualitas oke harga terjangkau ya,4,positive,com.gojek.app,Gojek,2026-08-25,google_play
syn_04764,aplikasi lemot sering force close,1,negative,com.shopee.id,Shopee,2026-08-25,google_play
syn_03522,grafik keren gameplay mantap,5,positive,com.shopee.id,Shopee,2026-08-25,google_play
syn_00554,desain bagus pengalaman menyenangkan,5,positive,com.gojek.app,Gojek,2026-08-25,google_play
syn_01650,pelayanan buruk driver tidak ramah,2,negative,com.tokopedia.tkpd,Tokopedia,2026-08-25,google_play
syn_07968,fitur tidak berfungsi sama sekali bangettt,2,negative,com.shopee.id,Shopee,2026-08-25,google_play
syn_06681,driver ramah dan tepat waktu banget,5,positive,com.gojek.app,Gojek,2026-08-25,google_play
syn_08537,kualitas oke harga terjangkau,4,positive,com.mobile.legends,MLBB,2026-08-25,google_play
syn_04665,lag parah tidak bisa dipakai,2,negative,com.shopee.id,Shopee,2026-08-25,google_play
syn_06037,lag parah tidak bisa dipakai,1,negative,com.gojek.app,Gojek,2026-08-25,google_play
syn_04464,fitur lengkap mudah digunakan,5,positive,com.mobile.legends,MLBB,2026-08-25,google_play
syn_05778,pelayanan sangat memuaskan,5,positive,com.mobile.legends,MLBB,2026-08-25,google_play
syn_05579,pelayanan buruk driver tidak ramah,2,negative,com.tokopedia.tkpd,Tokopedia,2026-08-25,google_play
syn_07077,kualitas oke harga terjangkau,5,positive,com.mobile.legends,MLBB,2026-08-25,google_play
syn_02483,cukup membantu walau kadang error,3,neutral,com.gojek.app,Gojek,2026-08-25,google_play
syn_08998,biasa saja tidak istimewa,3,neutral,com.shopee.id,Shopee,2026-08-25,google_play
syn_09427,cepat responsif tidak lemot,4,positive,com.gojek.app,Gojek,2026-08-25,google_play
syn_03602,mudah digunakan sangat membantu,5,positive,com.gojek.app,Gojek,2026-08-25,google_play
syn_01078,mudah digunakan sangat membantu,4,positive,com.shopee.id,Shopee,2026-08-25,google_play
syn_04176,pelayanan sangat memuaskan,5,positive,com.shopee.id,Shopee,2026-08-25,google_play
syn_02168,fiturnya lumayan tapi perlu update,3,neutral,com.tokopedia.tkpd,Tokopedia,2026-08-25,google_play
syn_08520,oke lah untuk sehari-hari,3,neutral,com.gojek.app,Gojek,2026-08-25,google_play
syn_03465,fitur lengkap mudah digunakan,4,positive,com.mobile.legends,MLBB,2026-08-25,google_play
syn_00247,lag parah tidak bisa dipakai bangettt,2,negative,com.shopee.id,Shopee,2026-08-25,google_play
syn_08291,CS tidak responsif sangat buruk,2,negative,com.shopee.id,Shopee,2026-08-25,google_play
syn_06001,driver ramah dan tepat waktu ya,4,positive,com.shopee.id,Shopee,2026-08-25,google_play
syn_07337,mantap aplikasi terbaik,4,positive,com.mobile.legends,MLBB,2026-08-25,google_play
syn_02742,cepat responsif tidak lemot,4,positive,com.mobile.legends,MLBB,2026-08-25,google_play
syn_03954,barang sesuai deskripsi sangat puas,4,positive,com.gojek.app,Gojek,2026-08-25,google_play
syn_01139,pelayanan sangat memuaskan loh,4,positive,com.tokopedia.tkpd,Tokopedia,2026-08-25,google_play
syn_09751,mantap aplikasi terbaik bangettt,5,positive,com.shopee.id,Shopee,2026-08-25,google_play
syn_08206,barang sesuai deskripsi sangat puas bangettt,5,positive,com.shopee.id,Shopee,2026-08-25,google_play
syn_08858,mudah digunakan sangat membantu,5,positive,com.mobile.legends,MLBB,2026-08-25,google_play
syn_07209,desain bagus pengalaman menyenangkan,5,positive,com.shopee.id,Shopee,2026-08-25,google_play
syn_03458,fitur lengkap mudah digunakan loh,4,positive,com.shopee.id,Shopee,2026-08-25,google_play
syn_10077,lumayan bagus ada kekurangan kecil,3,neutral,com.gojek.app,Gojek,2026-08-25,google_play
syn_06532,mudah digunakan sangat membantu,4,positive,com.shopee.id,Shopee,2026-08-25,google_play
syn_07111,lumayan bagus ada kekurangan kecil,3,neutral,com.gojek.app,Gojek,2026-08-25,google_play
syn_07356,selalu crash saat login,1,negative,com.shopee.id,Shopee,2026-08-25,google_play
syn_11691,sering hang dan keluar sendiri,1,negative,com.mobile.legends,MLBB,2026-08-25,google_play
syn_10020,fitur lengkap mudah digunakan bangettt,4,positive,com.gojek.app,Gojek,2026-08-25,google_play
syn_04004,cepat responsif tidak lemot,4,positive,com.tokopedia.tkpd,Tokopedia,2026-08-25,google_play
syn_00429,pelayanan sangat memuaskan,4,positive,com.tokopedia.tkpd,Tokopedia,2026-08-25,google_play
syn_11885,cepat responsif tidak lemot ya,4,positive,com.shopee.id,Shopee,2026-08-25,google_play
syn_06461,diskon banyak belanja hemat loh,5,positive,com.tokopedia.tkpd,Tokopedia,2026-08-25,google_play
syn_08441,fitur lengkap mudah digunakan sekali,4,positive,com.tokopedia.tkpd,Tokopedia,2026-08-25,google_play
syn_01512,desain bagus pengalaman menyenangkan,5,positive,com.tokopedia.tkpd,Tokopedia,2026-08-25,google_play
syn_06390,pelayanan sangat memuaskan,4,positive,com.shopee.id,Shopee,2026-08-25,google_play
syn_08681,fiturnya lumayan tapi perlu update,3,neutral,com.gojek.app,Gojek,2026-08-25,google_play
syn_06321,pengiriman lama banget tidak puas,1,negative,com.shopee.id,Shopee,2026-08-25,google_play
syn_06053,CS tidak responsif sangat buruk,1,negative,com.mobile.legends,MLBB,2026-08-25,google_play
syn_00850,aplikasi lemot sering force close,2,negative,com.tokopedia.tkpd,Tokopedia,2026-08-25,google_play
syn_04948,mudah digunakan sangat membantu,4,positive,com.shopee.id,Shopee,2026-08-25,google_play
syn_11035,update terbaru jauh lebih baik,5,positive,com.tokopedia.tkpd,Tokopedia,2026-08-25,google_play
syn_11311,driver ramah dan tepat waktu loh,5,positive,com.mobile.legends,MLBB,2026-08-25,google_play
syn_07754,desain bagus pengalaman menyenangkan,5,positive,com.shopee.id,Shopee,2026-08-25,google_play
syn_03219,pelayanan sangat memuaskan,5,positive,com.tokopedia.tkpd,Tokopedia,2026-08-25,google_play
syn_09643,sering hang dan keluar sendiri,1,negative,com.shopee.id,Shopee,2026-08-25,google_play
syn_01570,desain bagus pengalaman menyenangkan,5,positive,com.mobile.legends,MLBB,2026-08-25,google_play
syn_07053,driver ramah dan tepat waktu,5,positive,com.shopee.id,Shopee,2026-08-25,google_play
syn_04619,grafik keren gameplay mantap,5,positive,com.gojek.app,Gojek,2026-08-25,google_play
syn_02054,biasa saja tidak istimewa,3,neutral,com.tokopedia.tkpd,Tokopedia,2026-08-25,google_play
syn_10455,cepat responsif tidak lemot,4,positive,com.gojek.app,Gojek,2026-08-25,google_play
syn_03033,diskon banyak belanja hemat,4,positive,com.mobile.legends,MLBB,2026-08-25,google_play
syn_08765,lag parah tidak bisa dipakai bangettt,1,negative,com.mobile.legends,MLBB,2026-08-25,google_play
syn_07157,biasa saja tidak istimewa,3,neutral,com.tokopedia.tkpd,Tokopedia,2026-08-25,google_play
syn_07745,lag parah tidak bisa dipakai,1,negative,com.mobile.legends,MLBB,2026-08-25,google_play
syn_05357,sering hang dan keluar sendiri,2,negative,com.gojek.app,Gojek,2026-08-25,google_play
syn_10631,mudah digunakan sangat membantu,5,positive,com.mobile.legends,MLBB,2026-08-25,google_play
syn_09546,lumayan bagus ada kekurangan kecil bangettt,3,neutral,com.tokopedia.tkpd,Tokopedia,2026-08-25,google_play
syn_03265,netral saja tidak terlalu bagus,3,neutral,com.mobile.legends,MLBB,2026-08-25,google_play
syn_11058,cepat responsif tidak lemot,5,positive,com.gojek.app,Gojek,2026-08-25,google_play
